5	98	1	115.73	2019-12-03 10:44:09.170338
6	1	1	18.93	2019-12-03 23:04:19.601194
7	2	1	77.09	2019-12-03 23:04:19.601194
8	3	1	57.57	2019-12-03 23:04:19.601194
9	4	1	57.57	2019-12-03 23:04:19.601194
10	5	1	57.57	2019-12-03 23:04:19.601194
11	6	1	57.57	2019-12-03 23:04:19.601194
12	7	1	96.21	2019-12-03 23:04:19.601194
13	9	1	57.57	2019-12-03 23:04:19.601194
14	10	1	96.21	2019-12-03 23:04:19.601194
15	11	1	18.93	2019-12-03 23:04:19.601194
16	12	1	18.93	2019-12-03 23:04:19.601194
17	213	1	18.93	2019-12-03 23:04:19.601194
18	13	1	96.21	2019-12-03 23:04:19.601194
19	14	1	18.93	2019-12-03 23:04:19.601194
20	15	1	57.57	2019-12-03 23:04:19.601194
21	384	1	115.53	2019-12-03 23:04:19.601194
22	8	1	76.89	2019-12-03 23:04:19.601194
23	98	1	115.53	2019-12-03 23:04:19.601194
24	16	1	57.57	2019-12-03 23:04:19.601194
25	17	1	18.93	2019-12-03 23:04:19.601194
26	18	1	18.93	2019-12-03 23:04:19.601194
27	19	1	18.93	2019-12-03 23:04:19.601194
28	20	1	96.21	2019-12-03 23:04:19.601194
29	21	1	96.21	2019-12-03 23:04:19.601194
30	22	1	57.57	2019-12-03 23:04:19.601194
31	23	1	18.93	2019-12-03 23:04:19.601194
32	24	1	57.57	2019-12-03 23:04:19.601194
33	25	1	57.57	2019-12-03 23:04:19.601194
34	26	1	18.93	2019-12-03 23:04:19.601194
35	27	1	18.93	2019-12-03 23:04:19.601194
36	28	1	96.21	2019-12-03 23:04:19.601194
37	29	1	57.57	2019-12-03 23:04:19.601194
38	30	1	57.57	2019-12-03 23:04:19.601194
39	31	1	96.21	2019-12-03 23:04:19.601194
40	32	1	96.21	2019-12-03 23:04:19.601194
41	33	1	57.57	2019-12-03 23:04:19.601194
42	34	1	18.93	2019-12-03 23:04:19.601194
43	35	1	57.57	2019-12-03 23:04:19.601194
44	36	1	18.93	2019-12-03 23:04:19.601194
45	37	1	57.57	2019-12-03 23:04:19.601194
46	38	1	18.93	2019-12-03 23:04:19.601194
47	39	1	18.93	2019-12-03 23:04:19.601194
48	40	1	18.93	2019-12-03 23:04:19.601194
49	41	1	18.93	2019-12-03 23:04:19.601194
50	42	1	57.57	2019-12-03 23:04:19.601194
51	265	1	96.21	2019-12-03 23:04:19.601194
52	43	1	57.57	2019-12-03 23:04:19.601194
53	44	1	96.21	2019-12-03 23:04:19.601194
54	45	1	96.21	2019-12-03 23:04:19.601194
55	46	1	96.21	2019-12-03 23:04:19.601194
56	47	1	96.21	2019-12-03 23:04:19.601194
57	48	1	96.21	2019-12-03 23:04:19.601194
58	49	1	57.57	2019-12-03 23:04:19.601194
59	50	1	57.57	2019-12-03 23:04:19.601194
60	126	1	96.21	2019-12-03 23:04:19.601194
61	51	1	57.57	2019-12-03 23:04:19.601194
62	52	1	18.93	2019-12-03 23:04:19.601194
63	53	1	57.57	2019-12-03 23:04:19.601194
64	54	1	18.93	2019-12-03 23:04:19.601194
65	55	1	57.57	2019-12-03 23:04:19.601194
\.


